timestamp,agent.name,rule.description,rule.level,rule.id
"Dec 30, 2025 @ 14:59:51.568",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:59:41.566",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:59:37.565",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:59:29.564",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:59:25.563",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:59:19.562",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:59:15.561",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:59:09.561",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:59:05.560",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:59.559",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:53.558",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:49.558",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:39.556",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:33.555",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:29.554",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:23.552",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:19.552",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:13.551",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:58:01.548",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:51.546",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:35.543",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:31.542",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:25.541",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:21.540",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:15.539",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:11.538",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:05.538",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:57:01.537",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:56:49.535",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:56:43.534",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:56:39.533",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:56:33.531",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:56:29.530",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:56:23.527",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:56:19.524",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:56:13.523",ubuntu,Apparmor DENIED,3,52002
